z1,z2,z3,z4,z5
0.1196616,0.3650517,0.6252035,0.38341364,0.2856415
0.23842236,0.54021275,0.11237162,0.23647514,0.7042755
0.30854422,0.79521847,0.16023532,0.4774787,0.7615936
0.6331073,0.4771425,0.29954982,0.28755322,0.15365687
0.48334223,0.5552095,0.36016762,0.41813266,0.30695364
0.32519615,0.24568325,0.6686126,0.22782984,0.23812214
0.8616346,0.39329606,0.87844527,0.8423209,0.6723133
0.13904604,0.52450705,0.3092956,0.19630238,0.5556456
0.7738073,0.476756,0.49302626,0.23303992,0.3111217
0.5772984,0.5404923,0.29478848,0.4113114,0.39967066
0.60975903,0.70827335,0.47773737,0.470505,0.40430477
0.9315454,0.6697766,0.9908072,0.32815436,0.9052572
0.11022481,0.5566996,0.30394015,0.12185043,0.46747175
0.0057380497,0.023255706,0.31020924,0.08091608,0.33943602
0.7828197,0.50313985,0.90034044,0.5442038,0.34067702
0.053397357,0.55033654,0.81233954,0.20557469,0.6492946
0.8012896,0.9115901,0.38132662,0.43843764,0.54492795
0.45315728,0.2549047,0.36149785,0.37170556,0.47888228
0.54892206,0.8382386,0.26179713,0.3624103,0.47242737
0.016098917,0.22782767,0.05363226,0.99839723,0.32690108
0.7026323,0.4424964,0.8052412,0.23876366,0.020809561
0.58627015,0.6581242,0.6609771,0.35629064,0.31012857
0.5529107,0.16329283,0.41152674,0.31320173,0.61129844
0.07483071,0.36479247,0.5297657,0.99592966,0.053286314
0.5893235,0.63942045,0.4229918,0.5262798,0.23178363
0.64609885,0.30684924,0.1945115,0.33098257,0.18661875
0.45031926,0.32388783,0.267981,0.3984411,0.49859813
0.42272055,0.20884323,0.26537204,0.15833408,0.71108764
0.5922513,0.14546123,0.8937371,0.22039646,0.6815402
0.80556166,0.0969896,0.63389283,0.27950048,0.42087892
0.33814675,0.66079795,0.20277917,0.56316036,0.57461107
0.6501579,0.42852753,0.2162734,0.17125207,0.17280006
0.14222348,0.57028013,0.16641986,0.26612413,0.6598686
0.51195925,0.8085606,0.32137242,0.20591885,0.75581014
0.48579532,0.033674896,0.1554316,0.12771866,0.25134262
0.7199139,0.39141807,0.4507201,0.2618915,0.351358
0.63609993,0.51526713,0.54336107,0.40076837,0.55891913
0.4574539,0.03136155,0.568691,0.1113013,0.42473993
0.60335946,0.015073955,0.111778766,0.058548808,0.2557962
0.19669792,0.06720644,0.9464307,0.35527623,0.45752478
0.724864,0.47871917,0.7167954,0.68233794,0.08030912
0.070767164,0.56823564,0.12546393,0.20572343,0.18161064
0.56375,0.3284803,0.25928205,0.23926827,0.48993906
0.9404104,0.7111715,0.39879346,0.25090653,0.18746957
0.68769366,0.077736616,0.9404088,0.22122476,0.3838088
0.028739125,0.1058031,0.20293319,0.23635286,0.064691454
0.886341,0.04520181,0.84401655,0.40743735,0.7712325
0.7950598,0.7150149,0.8121092,0.2843176,0.48586807
0.20949894,0.45193547,0.24778676,0.22779271,0.74220055
0.778182,0.7363577,0.94629216,0.791015,0.15338597
0.4892633,0.53498006,0.40782058,0.28182992,0.19947898
0.4535179,0.05664155,0.946854,0.28493607,0.5877844
0.5392794,0.8655257,0.2918428,0.3815161,0.4818337
0.015464485,0.032930344,0.39443606,0.16769907,0.15914887
0.54004663,0.2753833,0.4092228,0.52144295,0.5414062
0.392008,0.10239515,0.3332289,0.44864503,0.9675846
0.578993,0.59807754,0.5275363,0.33961076,0.34048158
0.79769063,0.52477604,0.8935529,0.7169949,0.33809924
0.70424116,0.66485757,0.56625295,0.38422844,0.8113269
0.25859755,0.7268173,0.2882511,0.25495481,0.86254036
0.100518435,0.5576141,0.13401586,0.10967815,0.3475911
0.73450035,0.45449278,0.6919819,0.31630707,0.070023686
0.606031,0.27304512,0.6869527,0.45711762,0.08652392
0.59542584,0.4118056,0.36002243,0.3193882,0.5081427
0.27439523,0.8367312,0.090550125,0.30637175,0.6008663
0.6025729,0.38514683,0.4863401,0.27041203,0.29452127
0.9066404,0.80721366,0.8911252,0.46008056,0.48692423
0.81727344,0.6570178,0.8312838,0.46879578,0.19034016
0.4218585,0.2190929,0.6717552,0.86185896,0.3150264
0.50881785,0.6138886,0.3479408,0.3617841,0.45944577
0.21234342,0.07956183,0.6306842,0.48543522,0.3283097
0.33179712,0.20904344,0.43176976,0.3164971,0.14759502
0.92121357,0.077708036,0.83164465,0.14115664,0.5171867
0.9503603,0.2613396,0.80809665,0.048585325,0.89863265
0.55771506,0.66254485,0.29107308,0.40837306,0.7585796
0.048350513,0.5559274,0.77505577,0.2102522,0.66527474
0.5594521,0.9082488,0.31564754,0.42691782,0.4532409
0.3710431,0.76285195,0.30966437,0.38279665,0.64738375
0.29775313,0.17292196,0.7298032,0.31460226,0.17623967
0.098894805,0.07306847,0.25188047,0.10113707,0.09196144
0.6265233,0.019607037,0.1623869,0.08081645,0.40699235
0.3510423,0.84001124,0.56740427,0.6989224,0.0912835
0.39389232,0.16281876,0.29667148,0.41054502,0.94245684
0.5251264,0.66289395,0.49996898,0.41737399,0.84934694
0.62031823,0.5928984,0.7953221,0.4441549,0.7083797
0.013099879,0.20247293,0.054830283,0.9989578,0.26770347
0.63307387,0.22519526,0.42811474,0.36537895,0.8103166
0.68236214,0.8358556,0.8494899,0.6004149,0.51438695
0.2366285,0.74759173,0.11732584,0.37695858,0.59722894
0.83199775,0.7653957,0.5334316,0.39279646,0.57815564
0.16823027,0.77258545,0.12705198,0.34835756,0.11058426
0.23229152,0.32814717,0.5850316,0.49596757,0.18259946
0.24617198,0.18435654,0.1927366,0.31983644,0.28483146
0.16788307,0.7315146,0.22205326,0.5639563,0.42006406
0.30373853,0.64364237,0.37704372,0.2221646,0.89770424
0.6223134,0.8724815,0.7091332,0.51623905,0.5919415
0.636931,0.66204137,0.5042648,0.41805446,0.05369526
0.5998459,0.6837085,0.5009817,0.9218165,0.03926891
0.67368776,0.099316806,0.8495455,0.2564901,0.49001655
0.40319943,0.6854395,0.26969203,0.34774372,0.48576835
0.6012585,0.68853617,0.501361,0.43468153,0.34851313
0.07516205,0.76417416,0.10187152,0.39591205,0.049148083
0.38360915,0.42083132,0.22772029,0.9898405,0.03832504
0.9053726,0.19137266,0.82507193,0.08086327,0.9413439
0.8233986,0.0039072037,0.5322649,0.1721001,0.08254039
0.5871025,0.59507847,0.44000477,0.28366137,0.07139808
0.81582093,0.8271313,0.7215279,0.56130224,0.5050864
0.74506783,0.71922505,0.765273,0.54552895,0.4509865
0.9471029,0.24636585,0.91664505,0.3954632,0.5221645
0.8113365,0.3111466,0.8660364,0.74184346,0.58546436
0.61192286,0.3160034,0.3299578,0.26235494,0.27039182
0.063976735,0.53690946,0.77865577,0.2094664,0.6290902
0.92350465,0.121073276,0.07295525,0.6834512,0.5306567
0.34326226,0.32167947,0.38203263,0.10962406,0.2605936
0.54029816,0.31341708,0.25630173,0.22761211,0.67410564
0.2486934,0.189888,0.19450605,0.30257004,0.29502505
0.09162021,0.48466745,0.6551732,0.71109295,0.10534191
0.062010735,0.49244654,0.7985246,0.18404824,0.598315
0.743451,0.77914846,0.6942881,0.5977223,0.50653833
0.6123453,0.8596096,0.38634998,0.23339802,0.6632866
0.75605404,0.93478596,0.9218957,0.38107604,0.5068448
0.7636769,0.4541641,0.5469368,0.19096828,0.31344804
0.6011307,0.14578113,0.59789795,0.22545776,0.2782005
0.6070881,0.050534993,0.89146113,0.20880741,0.4953259
0.21548441,0.68013436,0.2511376,0.44965863,0.5581805
0.48147747,0.3187647,0.76615226,0.99295175,0.007967532
0.3774202,0.76979566,0.3579616,0.30988145,0.41153318
0.47296408,0.018939674,0.49574718,0.06410518,0.14611733
0.09360635,0.27683258,0.5185077,0.99777436,0.046677202
